id,name,instrument,category
op205,Square Glide Lead.adv,Operator,Synth Lead
op206,Sweep Rhythmic Lead.adv,Operator,Synth Lead
op207,Sweep Upwards Lead.adv,Operator,Synth Lead
op208,Syncy Lead.adv,Operator,Synth Lead
op209,Thin Buzz Motion Lead.adv,Operator,Synth Lead
op210,Unison FM Lead.adv,Operator,Synth Lead
op211,Unison Filter Velo Lead.adv,Operator,Synth Lead
op212,Unison Saw Lead.adv,Operator,Synth Lead
op213,Unison Square Lead.adv,Operator,Synth Lead
op214,Wow Attack Lead.adv,Operator,Synth Lead
op215,Wow Vibrato.adv,Operator,Synth Lead
op216,5ths Detuned Pad.adv,Operator,Synth Pad
op217,5ths Filter Sweep Pad.adv,Operator,Synth Pad
op218,5ths Glass Motion Pad.adv,Operator,Synth Pad
op219,Analog Slow Sweep Pad.adv,Operator,Synth Pad
op220,Bell String Detuned Pad.adv,Operator,Synth Pad
op221,Bright Filterless Sweep Pad.adv,Operator,Synth Pad
op222,Buzz Reso Stereo Pad.adv,Operator,Synth Pad
op223,Buzz Slow Motion Pad.adv,Operator,Synth Pad
op224,Buzz Slow Sweep Pad.adv,Operator,Synth Pad
op225,Buzz Wide Motion Pad.adv,Operator,Synth Pad
op226,Chorus & Strings Sweep Pad.adv,Operator,Synth Pad
op227,Cut Pad.adv,Operator,Synth Pad
op228,Filtered Style Pad.adv,Operator,Synth Pad
op229,Fog Pad.adv,Operator,Synth Pad
op230,Fuzz Pad.adv,Operator,Synth Pad
op231,Glass Detuned Fast Attack Pad.adv,Operator,Synth Pad
op232,Glass Thin Pad.adv,Operator,Synth Pad
op233,Glass Thin Pure Pad.adv,Operator,Synth Pad
op234,Glass Unpitched Pad.adv,Operator,Synth Pad
op235,Glass Vibrato Pad.adv,Operator,Synth Pad
op236,Glass Wah Pad.adv,Operator,Synth Pad
op237,Highpass Sweep Pad.adv,Operator,Synth Pad
op238,Hollow Reso Pad.adv,Operator,Synth Pad
op239,Hollow Sweep Pad.adv,Operator,Synth Pad
op240,Muted Chorus Pad.adv,Operator,Synth Pad
op241,Muted Motion Pad.adv,Operator,Synth Pad
op242,Muted Noise Sweep Pad.adv,Operator,Synth Pad
op243,Muted Soft Shimmer Pad.adv,Operator,Synth Pad
op244,Muted Upper Sweep Pad.adv,Operator,Synth Pad
op245,Nasal Pitch Scoop Pad.adv,Operator,Synth Pad
op246,Noise Slow Sweep Pad.adv,Operator,Synth Pad
op247,Orchestral Sweep Pad.adv,Operator,Synth Pad
op248,Pitch Attack Pad.adv,Operator,Synth Pad
op249,Poly Detuned Pad.adv,Operator,Synth Pad
op250,Pure Muted Pad.adv,Operator,Synth Pad
op251,Pure Reso Sweep Pad.adv,Operator,Synth Pad
op252,Reso Envelope Pad.adv,Operator,Synth Pad
op253,Resonant Sweep Pad.adv,Operator,Synth Pad
op254,Sandy Pad.adv,Operator,Synth Pad
op255,Slow Sweep Pad.adv,Operator,Synth Pad
op256,Soft Shimmer Filter Sweep Pad.adv,Operator,Synth Pad
op257,Square Reso Pad.adv,Operator,Synth Pad
op258,Still Sky Pad.adv,Operator,Synth Pad
op259,Strings 5ths Pad.adv,Operator,Synth Pad
op260,Strings Basis Pad.adv,Operator,Synth Pad
op261,Strings Filter Pad.adv,Operator,Synth Pad
op262,Strings Keys Attack Pad.adv,Operator,Synth Pad
op263,Strings Vibrato Pad.adv,Operator,Synth Pad
op264,Swept Organ Pad.adv,Operator,Synth Pad
op265,Thick Organ Pad.adv,Operator,Synth Pad
op266,Thin Buzz Fast Attack Pad.adv,Operator,Synth Pad
op267,Thin Pad Filter Sweep.adv,Operator,Synth Pad
op268,Tine Pad.adv,Operator,Synth Pad
op269,Toy Glass Pad.adv,Operator,Synth Pad
op270,Toy Keys Attack Pad.adv,Operator,Synth Pad
op271,Vintage Sampler Noise Pad.adv,Operator,Synth Pad
op272,Vocal Choral Muted Pad.adv,Operator,Synth Pad
op273,Vocal Choral Stereo Sweep Pad.adv,Operator,Synth Pad
op274,Vocal Motion Filter Sweep Pad.adv,Operator,Synth Pad
op275,Vocal Vowel Slow Sweep Pad.adv,Operator,Synth Pad
op276,Warble Rhythm Noise Pad.adv,Operator,Synth Pad
op277,World Scape Pad.adv,Operator,Synth Pad
op278,Analog HiHat Bleep.adv,Operator,Synth Percussion
op279,BD 1 Kick.adv,Operator,Synth Percussion
op280,E-Ride Cymbal Bell.adv,Operator,Synth Percussion
op281,Geigerzaehler Bleep.adv,Operator,Synth Percussion
op282,Noise Perc Percussion.adv,Operator,Synth Percussion
op283,Noisy Wood Percussion.adv,Operator,Synth Percussion
op284,Q Thud Hi.adv,Operator,Synth Percussion
op285,Shout Cowbell Percussion.adv,Operator,Synth Percussion
op286,Smack Kick.adv,Operator,Synth Percussion
op287,Wood Percussion.adv,Operator,Synth Percussion
op288,Zapp Kick.adv,Operator,Synth Percussion
op289,Buzz Bass 16ths.adv,Operator,Synth Rhythmic
op290,Buzz Lead 4ths.adv,Operator,Synth Rhythmic
op291,Full Perc Pluck 16ths.adv,Operator,Synth Rhythmic
op292,Hollow Synth 16ths.adv,Operator,Synth Rhythmic
op293,Klong Bass Machine.adv,Operator,Synth Rhythmic
op294,Metal Pluck 8ths.adv,Operator,Synth Rhythmic
op295,Noisy Keys Machine.adv,Operator,Synth Rhythmic
op296,Pure Bell 8ths.adv,Operator,Synth Rhythmic
op297,Rhythmic Bass & Bell.adv,Operator,Synth Rhythmic
op298,Rhythmic Bass & Hihat Basic.adv,Operator,Synth Rhythmic
op299,Rhythmic Bass & Hihat Sweep.adv,Operator,Synth Rhythmic
op300,Rhythmic Bass & Perc Full.adv,Operator,Synth Rhythmic
op301,Rhythmic Pong Bass.adv,Operator,Synth Rhythmic
op302,Rhythmic SciFi Pluck.adv,Operator,Synth Rhythmic
op303,Rhythmic Square Synth Buzz.adv,Operator,Synth Rhythmic
op304,Rhythmic Sweep Synth Buzz.adv,Operator,Synth Rhythmic
op305,Rhythmic Synth Buzz.adv,Operator,Synth Rhythmic
op306,Rhythmic Tines Pad.adv,Operator,Synth Rhythmic
op307,Rhythmic Wow Bass.adv,Operator,Synth Rhythmic
op308,SciFi Machine.adv,Operator,Synth Rhythmic
op309,Synth Buzz 8ths.adv,Operator,Synth Rhythmic
op310,Synth Reso Buzz 16ths.adv,Operator,Synth Rhythmic
op311,Synth Reso Sweep 16ths.adv,Operator,Synth Rhythmic
op312,Thin Perc 8ths.adv,Operator,Synth Rhythmic
op313,Choir Metal Bright.adv,Operator,Synth Voices
op314,Choir Metal Muted.adv,Operator,Synth Voices
op315,Choir Reverb.adv,Operator,Synth Voices
op316,Choir Steam.adv,Operator,Synth Voices
op317,Portamento Female Nasal.adv,Operator,Synth Voices
op318,Portamento Female Pure.adv,Operator,Synth Voices
op319,Portamento Male.adv,Operator,Synth Voices
op320,Solo Female Fast Att.adv,Operator,Synth Voices
op321,Solo Female Long Rel.adv,Operator,Synth Voices
op322,Solo Female Reso.adv,Operator,Synth Voices
op323,Solo Male Fast Attack.adv,Operator,Synth Voices
op324,Solo Male Metal Echo.adv,Operator,Synth Voices
op325,Flute Basic.adv,Operator,Winds
op326,Flute Double.adv,Operator,Winds
op327,Flute Hard.adv,Operator,Winds
op328,Flute Mellow.adv,Operator,Winds
op329,Ocarina Basic.adv,Operator,Winds
op330,Pan Flute Basic.adv,Operator,Winds
op331,Whistler Winds.adv,Operator,Winds
