id,name,instrument,category
wtr107,Neuro Pulse Bass.adg,Wavetable,Synth Rhythmic
wtr108,Ominous Thud.adg,Wavetable,Bass
wtr109,Orbit Mallets.adg,Wavetable,Mallets
wtr110,Organ Angry.adg,Wavetable,Piano & Keys
wtr111,Organ House.adg,Wavetable,Piano & Keys
wtr112,Organ Mutations.adg,Wavetable,Synth Keys
wtr113,Organ Plus Synth.adg,Wavetable,Piano & Keys
wtr114,Organ Rough.adg,Wavetable,Piano & Keys
wtr115,Organ Transistor Series.adg,Wavetable,Piano & Keys
wtr116,Parade Saw Lead.adg,Wavetable,Synth Lead
wtr117,Peculiar Galaxy Keys.adg,Wavetable,Synth Keys
wtr118,Perception Pad.adg,Wavetable,Pad
wtr119,Phasing Bell Pad.adg,Wavetable,Pad
wtr120,Plastic Toy.adg,Wavetable,Mallets
wtr121,Pulsing Click Pad.adg,Wavetable,Synth Rhythmic
wtr122,Pulsing Organ Synth.adg,Wavetable,Synth Rhythmic
wtr123,Pulsing Raum Keys.adg,Wavetable,Synth Rhythmic
wtr124,Rain On The Servers.adg,Wavetable,Effects
wtr125,Rave Lead.adg,Wavetable,Synth Lead
wtr126,Rave Signal.adg,Wavetable,Effects
wtr127,Rhythmic Filter Keys.adg,Wavetable,Synth Rhythmic
wtr128,Rhythmic Paradise Pad.adg,Wavetable,Synth Rhythmic
wtr129,Robot Lead.adg,Wavetable,Synth Lead
wtr130,Rogue Mischief Lead.adg,Wavetable,Synth Lead
wtr131,Screech Pad.adg,Wavetable,Pad
wtr132,Second Stellar Strings.adg,Wavetable,Strings
wtr133,Shimmer Pluck.adg,Wavetable,Plucked
wtr134,Silky Sheen Pad.adg,Wavetable,Pad
wtr135,Sitar Soundtrack Pad.adg,Wavetable,Pad
wtr136,Soft Attention.adg,Wavetable,Plucked
wtr137,Soundtrack Lore Pad.adg,Wavetable,Pad
wtr138,Spectral Movement Pad.adg,Wavetable,Pad
wtr139,Starshower Pad.adg,Wavetable,Pad
wtr140,Steeple Chaser Arp.adg,Wavetable,Synth Rhythmic
wtr141,Sub 808 Pitch Boom.adg,Wavetable,Bass
wtr142,Sub Stomach.adg,Wavetable,Bass
wtr143,Subterranea Lead.adg,Wavetable,Synth Lead
wtr144,Sunrise Waves.adg,Wavetable,Evolving
wtr145,Supersaw Pluck [cti - 011721].adg,Wavetable,Plucked
wtr146,Swirl Lead.adg,Wavetable,Synth Lead
wtr147,Sync Electrik Lead.adg,Wavetable,Synth Lead
wtr148,Synthetic Kick Bass.adg,Wavetable,Bass
wtr149,Synthetic Strings.adg,Wavetable,Strings
wtr150,Syripples Lead.adg,Wavetable,Synth Lead
wtr151,Talking 808 Bass.adg,Wavetable,Bass
wtr152,Theremin Whistle.adg,Wavetable,Synth Lead
wtr153,Transcending Pluck Pad.adg,Wavetable,Pad
wtr154,Tube Step Pad.adg,Wavetable,Pad
wtr155,Van The Man Pad.adg,Wavetable,Pad
wtr156,Vaporesque Pad.adg,Wavetable,Pad
wtr157,Voicelike Pad.adg,Wavetable,Pad
wtr158,Water Pluck.adg,Wavetable,Plucked
wtr159,Wave Evolve Pad.adg,Wavetable,Evolving
wtr160,Wet Air Pad.adg,Wavetable,Pad
